Gene_ID	Ctrl_rep1	Ctrl_rep2	dnBMPR1A_rep1	dnBMPR1A_rep2
ENSGALG00000039209	12	21	14	3
ENSGALG00000009873	212	150	183	207
ENSGALG00000026661	192	285	165	127
ENSGALG00000009875	527	721	530	563
ENSGALG00000019358	4674	3981	4125	4289
ENSGALG00000009879	5222	5614	4567	3964
ENSGALG00000049353	0	0	0	0
ENSGALG00000009885	58	105	92	112
ENSGALG00000009895	40	97	71	75
ENSGALG00000033879	4540	5475	3552	4242
ENSGALG00000009901	353	678	248	393
ENSGALG00000009903	0	0	0	0
ENSGALG00000009904	0	0	0	0
ENSGALG00000009905	943	1396	1347	829
ENSGALG00000050641	0	0	0	0
ENSGALG00000009927	23684	28825	20580	21376
ENSGALG00000009934	5406	7507	6462	7489
ENSGALG00000009940	2201	2763	1655	1723
ENSGALG00000053128	0	17	2	4
ENSGALG00000049477	9	13	9	23
ENSGALG00000009942	1274	3036	2471	2452
ENSGALG00000009945	121	620	205	189
ENSGALG00000055074	1	0	0	0
ENSGALG00000019355	5188	5788	4929	6345
ENSGALG00000009963	0	0	0	0
ENSGALG00000029135	4260	3887	3181	2864
ENSGALG00000009966	115	198	192	213
ENSGALG00000009975	32219	38834	41217	39006
ENSGALG00000047495	0	1	3	0
ENSGALG00000010018	0	1	1	0
ENSGALG00000010029	6	9	2	11
ENSGALG00000009959	471	599	577	338
ENSGALG00000019352	0	0	1	7
ENSGALG00000049993	0	0	0	0
ENSGALG00000010042	3579	3708	4387	4453
ENSGALG00000010044	32	18	7	5
ENSGALG00000010049	2	2	2	5
ENSGALG00000040855	61	78	60	96
ENSGALG00000046732	1	0	0	0
ENSGALG00000010152	0	0	2	0
ENSGALG00000052678	0	0	0	0
ENSGALG00000010163	2	16	22	31
ENSGALG00000010177	801	1009	1179	1327
ENSGALG00000041783	673	959	865	720
ENSGALG00000010183	1805	1713	851	1298
ENSGALG00000052261	100	100	51	60
ENSGALG00000010190	3093	3575	4060	4343
ENSGALG00000010198	68	122	89	70
ENSGALG00000047615	0	9	1	1
ENSGALG00000010200	2	2	4	1
ENSGALG00000052790	0	0	0	0
ENSGALG00000053800	0	0	0	0
ENSGALG00000054127	0	0	0	0
ENSGALG00000010204	21	0	10	4
ENSGALG00000010208	10	65	23	42
ENSGALG00000047516	475	746	538	433
ENSGALG00000010222	2	1	5	0
ENSGALG00000010223	4	9	3	4
ENSGALG00000010224	36	18	2	2
ENSGALG00000010227	5610	4965	4503	4915
ENSGALG00000039582	0	3	1	2
ENSGALG00000034788	14	24	11	17
ENSGALG00000010238	21565	20587	18498	20276
ENSGALG00000033769	10	6	13	8
